IP,延迟(ms),丢包率(%),速度(Mbps),国家代码,ISP,来源,注释
198.41.201.180,6.52,0.00,8.13,CA,Cloudflare,custom,
104.16.0.249,6.80,0.00,9.64,US,Cloudflare,custom,
104.16.8.181,6.81,0.00,9.57,US,Cloudflare,custom,
198.41.201.236,6.98,0.00,7.01,CA,Cloudflare,custom,
104.17.1.179,7.11,0.00,8.42,US,Cloudflare,custom,
104.25.12.72,7.14,0.00,8.07,US,Cloudflare,custom,
198.41.219.209,7.15,0.00,10.99,US,Cloudflare,custom,
104.24.193.189,7.16,0.00,8.01,US,Cloudflare,custom,
104.24.197.227,7.25,0.00,7.78,US,Cloudflare,custom,
104.18.7.136,7.34,0.00,7.82,US,Cloudflare,custom,
104.18.12.220,7.36,0.00,8.15,US,Cloudflare,custom,
104.19.15.70,7.45,0.00,7.17,US,Cloudflare,custom,
104.16.3.236,7.48,0.00,6.63,US,Cloudflare,custom,
104.25.13.217,7.55,0.00,8.61,US,Cloudflare,custom,
104.27.5.14,7.57,0.00,7.19,US,Cloudflare,custom,
172.66.151.103,7.63,0.00,8.21,CA,Cloudflare,custom,
104.17.9.159,7.65,0.00,9.10,US,Cloudflare,custom,
104.25.0.96,7.68,0.00,6.74,US,Cloudflare,custom,
172.66.151.207,7.68,0.00,7.55,CA,Cloudflare,custom,
104.24.203.92,7.71,0.00,8.56,US,Cloudflare,custom,
172.66.0.222,7.73,0.00,8.06,CA,Cloudflare,custom,
104.17.2.66,7.74,0.00,8.16,US,Cloudflare,custom,
104.16.4.189,7.75,0.00,7.67,US,Cloudflare,custom,
104.18.4.210,7.79,0.00,8.71,US,Cloudflare,custom,
104.16.1.233,7.79,0.00,7.64,US,Cloudflare,custom,
162.159.196.185,7.80,0.00,7.70,CA,Cloudflare,custom,
104.19.12.46,7.81,0.00,9.25,US,Cloudflare,custom,
162.159.245.121,7.81,0.00,7.85,US,Cloudflare,custom,
198.41.198.59,7.83,0.00,8.08,CA,Cloudflare,custom,
104.18.12.146,7.83,0.00,8.69,US,Cloudflare,custom,
173.245.49.76,7.83,0.00,9.08,CA,Cloudflare,custom,
104.18.10.116,7.84,0.00,7.09,US,Cloudflare,custom,
104.17.4.11,7.84,0.00,7.29,US,Cloudflare,custom,
104.25.14.133,7.84,0.00,7.52,US,Cloudflare,custom,
104.16.11.162,7.85,0.00,8.92,US,Cloudflare,custom,
104.27.12.184,7.86,0.00,6.75,US,Cloudflare,custom,
104.17.15.181,7.87,0.00,8.71,US,Cloudflare,custom,
198.41.198.159,7.88,0.00,8.04,CA,Cloudflare,custom,
104.16.10.219,7.89,0.00,7.50,US,Cloudflare,custom,
104.24.193.97,7.90,0.00,8.06,US,Cloudflare,custom,
104.24.194.24,7.90,0.00,10.05,US,Cloudflare,custom,
198.41.197.110,7.91,0.00,8.41,CA,Cloudflare,custom,
104.24.201.201,7.91,0.00,7.50,US,Cloudflare,custom,
104.27.11.177,7.92,0.00,7.60,US,Cloudflare,custom,
104.17.4.236,7.92,0.00,5.57,US,Cloudflare,custom,
104.24.193.61,7.93,0.00,6.23,US,Cloudflare,custom,
104.19.3.173,7.95,0.00,7.81,CA,Cloudflare,custom,
104.16.15.213,7.96,0.00,6.83,US,Cloudflare,custom,
104.19.3.221,7.97,0.00,8.61,US,Cloudflare,custom,
104.16.6.29,7.98,0.00,7.16,US,Cloudflare,custom,
104.25.15.138,8.01,0.00,9.40,US,Cloudflare,custom,
104.17.12.90,8.04,0.00,10.41,US,Cloudflare,custom,
104.17.4.1,8.05,0.00,8.22,US,Cloudflare,custom,
190.93.246.84,8.05,0.00,6.32,CR,Cloudflare,custom,
104.18.3.241,8.07,0.00,7.45,US,Cloudflare,custom,
104.17.11.213,8.07,0.00,6.89,US,Cloudflare,custom,
104.25.14.130,8.08,0.00,7.54,US,Cloudflare,custom,
104.19.13.63,8.09,0.00,8.10,US,Cloudflare,custom,
190.93.247.240,8.11,0.00,7.35,CR,Cloudflare,custom,
198.41.207.10,8.12,0.00,8.13,US,Cloudflare,custom,
104.16.0.119,8.12,0.00,6.99,US,Cloudflare,custom,
104.16.4.136,8.12,0.00,8.85,US,Cloudflare,custom,
162.159.249.184,8.14,0.00,7.05,US,Cloudflare,custom,
104.25.1.180,8.15,0.00,6.83,US,Cloudflare,custom,
104.17.10.91,8.16,0.00,6.98,US,Cloudflare,custom,
104.18.12.188,8.18,0.00,5.94,US,Cloudflare,custom,
104.25.9.73,8.18,0.00,9.71,US,Cloudflare,custom,
162.159.22.126,8.19,0.00,6.95,US,Cloudflare,custom,
104.25.9.82,8.19,0.00,8.53,US,Cloudflare,custom,
198.41.211.100,8.20,0.00,7.50,US,Cloudflare,custom,
104.24.204.173,8.21,0.00,6.03,US,Cloudflare,custom,
104.16.13.100,8.22,0.00,6.93,US,Cloudflare,custom,
104.24.195.96,8.23,0.00,5.69,US,Cloudflare,custom,
188.114.99.142,8.23,0.00,6.94,US,Cloudflare,custom,
198.41.218.54,8.24,0.00,6.92,US,Cloudflare,custom,
104.24.192.197,8.24,0.00,6.41,US,Cloudflare,custom,
104.24.199.228,8.24,0.00,8.61,US,Cloudflare,custom,
104.25.8.78,8.26,0.00,5.66,US,Cloudflare,custom,
104.24.198.219,8.26,0.00,6.91,US,Cloudflare,custom,
173.245.58.237,8.26,0.00,9.35,US,Cloudflare,custom,
104.19.15.188,8.27,0.00,5.94,US,Cloudflare,custom,
104.18.6.251,8.27,0.00,5.56,US,Cloudflare,custom,
104.25.8.61,8.29,0.00,5.89,US,Cloudflare,custom,
104.24.207.157,8.32,0.00,5.33,US,Cloudflare,custom,
104.27.4.25,8.32,0.00,6.33,US,Cloudflare,custom,
198.41.206.169,8.33,0.00,8.93,US,Cloudflare,custom,
104.24.195.85,8.35,0.00,6.51,US,Cloudflare,custom,
104.19.6.244,8.36,0.00,7.06,US,Cloudflare,custom,
190.93.246.101,8.37,0.00,11.62,CR,Cloudflare,custom,
162.159.194.237,8.38,0.00,5.95,US,Cloudflare,custom,
104.17.8.102,8.38,0.00,5.34,US,Cloudflare,custom,
